event_id,rest_time,heart_rate_stop,heart_rate_start,hr_drop
14,1,136,87,49
35,1,161,144,17
53,1,170,170,0
60,1,156,148,8
112,1,161,161,0
119,1,172,152,20
120,1,161,161,0
144,1,153,152,1
216,1,173,178,-5
226,1,155,148,7
242,1,161,155,6
253,1,80,167,-87
259,1,174,174,0
268,1,169,103,66
282,1,156,91,65
301,1,138,143,-5
327,1,154,151,3
424,1,134,135,-1
424,1,148,132,16
429,1,146,161,-15
500,1,149,152,-3
571,1,134,137,-3
809,1,152,102,50
3,2,165,154,11
3,2,177,177,0
4,2,145,147,-2
14,2,132,113,19
23,2,155,155,0
23,2,159,154,5
25,2,141,138,3
35,2,149,146,3
43,2,164,150,14
56,2,154,152,2
68,2,157,153,4
70,2,150,154,-4
106,2,166,165,1
111,2,162,165,-3
112,2,150,151,-1
144,2,149,150,-1
153,2,163,162,1
161,2,161,151,10
177,2,148,139,9
180,2,153,158,-5
180,2,160,152,8
183,2,161,157,4
184,2,155,161,-6
206,2,158,153,5
209,2,163,165,-2
236,2,164,152,12
242,2,151,155,-4
256,2,147,154,-7
257,2,165,170,-5
258,2,136,124,12
272,2,165,159,6
292,2,151,147,4
292,2,154,141,13
308,2,136,162,-26
327,2,163,148,15
330,2,163,157,6
333,2,152,151,1
339,2,156,122,34
347,2,169,81,88
350,2,133,137,-4
350,2,137,140,-3
350,2,137,121,16
354,2,163,160,3
355,2,151,144,7
359,2,146,141,5
381,2,149,154,-5
424,2,146,154,-8
425,2,140,133,7
432,2,168,162,6
449,2,153,140,13
483,2,128,131,-3
483,2,136,136,0
493,2,136,137,-1
509,2,155,153,2
533,2,132,141,-9
556,2,174,173,1
557,2,137,126,11
560,2,142,141,1
560,2,161,142,19
566,2,161,151,10
566,2,154,141,13
571,2,150,168,-18
575,2,149,162,-13
588,2,136,145,-9
595,2,143,141,2
597,2,150,147,3
601,2,151,150,1
611,2,135,133,2
614,2,139,131,8
825,2,150,122,28
35,3,145,119,26
43,3,165,152,13
43,3,157,156,1
44,3,152,137,15
47,3,160,146,14
57,3,157,111,46
58,3,134,132,2
62,3,162,157,5
69,3,170,161,9
82,3,154,160,-6
96,3,160,154,6
103,3,145,157,-12
116,3,155,148,7
157,3,164,163,1
164,3,170,165,5
168,3,157,149,8
181,3,137,145,-8
184,3,161,160,1
186,3,163,151,12
187,3,170,166,4
191,3,148,157,-9
197,3,165,162,3
216,3,164,185,-21
217,3,137,152,-15
219,3,160,147,13
229,3,152,143,9
241,3,163,163,0
256,3,157,150,7
264,3,156,158,-2
272,3,139,132,7
288,3,163,134,29
295,3,139,119,20
301,3,143,155,-12
319,3,146,137,9
326,3,161,162,-1
326,3,151,143,8
326,3,134,142,-8
331,3,149,149,0
337,3,144,149,-5
338,3,142,125,17
346,3,153,141,12
350,3,144,134,10
360,3,138,124,14
381,3,143,136,7
390,3,157,150,7
424,3,133,124,9
430,3,148,122,26
435,3,167,161,6
437,3,112,135,-23
449,3,150,153,-3
453,3,136,128,8
454,3,137,134,3
471,3,165,164,1
476,3,144,137,7
482,3,134,134,0
483,3,143,148,-5
483,3,158,141,17
502,3,147,144,3
503,3,138,152,-14
507,3,129,166,-37
561,3,143,131,12
562,3,143,140,3
566,3,150,162,-12
570,3,133,113,20
572,3,141,144,-3
572,3,142,147,-5
573,3,151,144,7
576,3,161,151,10
577,3,138,145,-7
579,3,154,156,-2
582,3,168,174,-6
583,3,170,155,15
583,3,167,169,-2
585,3,142,140,2
589,3,148,138,10
593,3,136,137,-1
597,3,145,138,7
609,3,135,134,1
616,3,133,126,7
617,3,156,150,6
664,3,143,153,-10
686,3,136,137,-1
720,3,169,160,9
728,3,155,167,-12
800,3,164,165,-1
820,3,144,130,14
9,4,141,142,-1
14,4,84,124,-40
16,4,131,106,25
17,4,132,123,9
27,4,150,138,12
27,4,156,145,11
31,4,160,150,10
37,4,162,157,5
42,4,170,150,20
43,4,153,148,5
45,4,153,153,0
55,4,165,135,30
58,4,156,159,-3
67,4,159,150,9
95,4,168,151,17
99,4,149,153,-4
101,4,160,202,-42
110,4,160,150,10
119,4,153,155,-2
126,4,158,149,9
148,4,139,109,30
153,4,160,159,1
153,4,160,158,2
155,4,161,150,11
163,4,152,148,4
163,4,144,147,-3
175,4,142,138,4
181,4,147,143,4
193,4,159,162,-3
196,4,177,168,9
201,4,160,149,11
209,4,157,158,-1
213,4,156,151,5
216,4,188,161,27
219,4,150,153,-3
223,4,146,129,17
226,4,148,162,-14
239,4,152,136,16
242,4,167,159,8
262,4,169,166,3
262,4,144,139,5
264,4,161,163,-2
290,4,155,140,15
301,4,169,144,25
312,4,133,129,4
319,4,115,119,-4
333,4,168,156,12
350,4,135,117,18
359,4,139,144,-5
359,4,139,142,-3
362,4,148,133,15
379,4,130,110,20
381,4,149,130,19
388,4,111,107,4
397,4,170,163,7
402,4,171,164,7
439,4,125,130,-5
440,4,133,119,14
