event_id,total_running_time,heart_rate_stop,avg_hr,avg_speed,avg_temp
14,1,70,133.5092177,12.03967713,18
508,4,145,146.6828074,12.1743753,0
172,8,156,155.8322034,13.4239973,16
483,9,88,142.6484065,12.67416286,9
120,15,152,160.6370848,14.20895548,20
485,16,131,150.6505017,12.40069365,6
800,18,144,153.1344095,12.84634902,16
88,19,163,168.2782324,12.32521571,8
261,19,113,162.8026549,15.77974938,4
639,20,168,141.5268435,11.34375738,25
55,21,146,159.77159,14.47314479,17
157,21,140,157.4129646,13.13309456,28
206,22,167,152.0646617,12.47342941,2
540,22,172,140.7291855,11.67673654,9
291,23,157,165.6520651,13.22159099,22
470,23,153,128.9831844,11.04198697,10
240,24,140,163.9232082,15.26205563,
632,24,138,159.4849878,12.54627363,33
11,25,114,138.4541667,12.024105,16
99,25,149,156.295082,13.13780462,2
481,25,153,155.4838391,13.67780343,11
216,26,161,165.2325777,14.91045945,10
797,26,166,147.2979777,12.02068675,5
28,27,150,152.5938117,14.02277972,12
112,27,166,155.995481,12.89270859,13
196,27,149,170.1917695,13.62862829,0
421,27,121,130.8985788,11.14819767,22
556,27,153,142.2152847,11.99152638,5
598,29,171,154.2317808,11.91046388,21
122,30,159,164.7571885,13.2009634,34
188,30,158,159.9779099,15.06375379,10
304,30,163,165.3728949,15.38680417,10
624,30,121,137.5638186,11.45548291,26
636,30,140,137.8762353,11.6657568,21
123,31,118,143.6781726,12.0574571,22
245,31,166,167.9338061,14.04126525,-3
301,31,173,141.4507175,11.53964017,16
24,32,175,154.3619925,12.14122743,18
85,32,122,150.8939567,13.23366773,-6
431,32,137,129.8381743,10.48406426,16
141,33,158,160.4556213,14.40799349,22
112,34,150,155.995481,12.89270859,13
507,34,170,153.3786107,12.69866466,0
780,34,122,147.4907621,9.91761963,-7
251,35,166,159.9406667,11.41667121,-5
311,35,174,153.5604808,14.03154013,10
95,36,162,157.7890625,12.71941108,3
155,36,160,158.3825257,14.49656564,24
238,36,155,152.7323232,13.88891943,
257,36,170,147.5862228,12.0639828,-1
702,36,141,139.7406699,10.98452428,25
90,37,155,151.6328125,11.6968875,2
175,37,129,148.86,13.49623862,17
379,37,148,112.8872215,10.26521746,24
706,39,167,138.0301825,11.37442695,13
617,40,167,148.2345854,11.00028567,30
646,40,174,136.4680015,11.89295583,20
107,41,160,163.4945726,12.97775593,9
